timestamp,price,normalized_price
2025-01-29 00:00:00,101313.11264498268,0.83389997285897
2025-01-30 00:00:00,103718.97939813643,0.9491157591960997
2025-01-31 00:00:00,104781.5135100103,1.0
2025-02-01 00:00:00,102382.39409722164,0.8851073405047147
2025-02-02 00:00:00,100674.78762544956,0.8033308987538623
2025-02-03 00:00:00,97568.31653024876,0.6545635119075408
2025-02-04 00:00:00,101466.8606657039,0.8412628906439856
2025-02-05 00:00:00,98118.43921664466,0.6809086192630964
2025-02-06 00:00:00,96582.88682919052,0.6073717637616562
2025-02-07 00:00:00,96635.41875332213,0.6098874920074921
2025-02-08 00:00:00,96558.4563096667,0.606201798087592
2025-02-09 00:00:00,96558.23762501092,0.6061913253860007
2025-02-10 00:00:00,96548.57865379583,0.6057287619616982
2025-02-11 00:00:00,97399.98161383196,0.6465020347964199
2025-02-12 00:00:00,95739.9773707924,0.5670052405811701
2025-02-13 00:00:00,97836.18856127484,0.6673917729290366
2025-02-14 00:00:00,96561.6639990985,0.6063554127712507
2025-02-15 00:00:00,97488.48148536457,0.6507402505147244
2025-02-16 00:00:00,97569.95169430463,0.6546418191172982
2025-02-17 00:00:00,96149.3484548204,0.5866098222929956
2025-02-18 00:00:00,95776.15723852724,0.5687378768151499
2025-02-19 00:00:00,95495.89153299289,0.5553160887613675
2025-02-20 00:00:00,96554.87156259285,0.6060301262972105
2025-02-21 00:00:00,98384.31738240314,0.6936413950486138
2025-02-22 00:00:00,96135.15541305284,0.5859301244395629
2025-02-23 00:00:00,96564.15414290236,0.606474664544475
2025-02-24 00:00:00,96327.46309127836,0.5951396454308551
2025-02-25 00:00:00,91396.76686930266,0.3590110062783518
2025-02-26 00:00:00,88755.7693356979,0.23253492145369492
2025-02-27 00:00:00,83900.11496524839,0.0
2025-02-27 14:36:15,86141.9718447841,0.10736143341788207
